Year,Deficit,Total Spending,Total Revenue,Defense,Non-defense discretionary,Net interest,Social Security,Medicare,Medicaid,Income security,Federal civilian and military retirement,Veterans programs,Other programs,Offsetting receipts
1962,1.22,18.239,17.019,8.973,3.334,1.176,2.398,n.a.,0.018,1.042,0.342,0.791,1.393,-1.228
1963,0.769,18.006,17.237,8.689,3.49,1.252,2.5,n.a.,0.025,1.045,0.37,0.777,1.228,-1.37
1964,0.894,17.913,17.019,8.318,3.642,1.239,2.455,n.a.,0.032,0.961,0.394,0.714,1.387,-1.23
1965,0.199,16.668,16.469,7.193,3.774,1.211,2.408,n.a.,0.038,0.792,0.413,0.67,1.321,-1.153
1966,0.474,17.237,16.764,7.559,3.991,1.203,2.595,n.a.,0.099,0.665,0.435,0.603,1.281,-1.193
1967,1.033,18.824,17.791,8.606,4.122,1.227,2.545,0.379,0.14,0.619,0.464,0.643,1.366,-1.288
1968,2.803,19.846,17.043,9.153,3.991,1.236,2.595,0.571,0.201,0.662,0.487,0.626,1.557,-1.233
1969,-0.331,18.733,19.064,8.438,3.53,1.295,2.724,0.643,0.233,0.663,0.498,0.629,1.236,-1.155
1970,0.272,18.692,18.421,7.826,3.663,1.374,2.832,0.648,0.261,0.781,0.54,0.671,1.233,-1.137
1971,2.063,18.823,16.76,7.076,3.898,1.329,3.146,0.67,0.301,1.201,0.603,0.726,1.161,-1.288
1972,1.922,18.967,17.045,6.523,4.046,1.273,3.237,0.688,0.378,1.35,0.647,0.721,1.29,-1.186
1973,1.102,18.164,17.062,5.699,3.94,1.283,3.561,0.668,0.34,1.068,0.675,0.727,1.576,-1.374
1974,0.414,18.165,17.751,5.444,3.877,1.446,3.708,0.72,0.392,1.173,0.746,0.71,1.485,-1.537
1975,3.313,20.681,17.368,5.452,4.378,1.446,3.955,0.879,0.426,1.798,0.952,0.803,1.819,-1.227
1976,4.128,20.816,16.688,5.032,4.798,1.496,4.07,0.949,0.48,2.105,0.896,0.807,1.313,-1.129
1977,2.651,20.215,17.564,4.817,4.918,1.477,4.134,1.027,0.488,1.706,0.908,0.662,1.142,-1.064
1978,2.603,20.178,17.575,4.603,5.017,1.56,4.066,1.068,0.47,1.409,0.905,0.597,1.483,-1.0
1979,1.587,19.646,18.058,4.552,4.803,1.662,3.999,1.098,0.484,1.252,0.914,0.548,1.331,-0.996
1980,2.644,21.166,18.522,4.822,5.075,1.882,4.193,1.216,0.5,1.586,0.986,0.523,1.458,-1.074
1981,2.52,21.647,19.126,5.042,4.786,2.195,4.401,1.317,0.537,1.589,1.035,0.505,1.486,-1.245
1982,3.862,22.507,18.645,5.612,4.226,2.566,4.645,1.484,0.525,1.603,1.077,0.491,1.401,-1.123
1983,5.877,22.861,16.984,5.936,4.056,2.54,4.766,1.57,0.537,1.815,1.077,0.467,1.388,-1.29
1984,4.694,21.569,16.875,5.774,3.834,2.813,4.458,1.548,0.508,1.312,1.008,0.415,1.037,-1.139
1985,4.978,22.188,17.21,5.934,3.814,3.036,4.371,1.633,0.531,1.233,0.948,0.385,1.435,-1.134
1986,4.888,21.881,16.993,6.05,3.639,3.005,4.342,1.639,0.552,1.203,0.942,0.368,1.196,-1.055
1987,3.141,21.059,17.918,5.926,3.39,2.907,4.301,1.676,0.575,1.16,0.96,0.345,0.925,-1.108
1988,3.02,20.714,17.694,5.661,3.376,2.954,4.219,1.668,0.593,1.119,0.962,0.343,0.895,-1.077
1989,2.748,20.591,17.843,5.473,3.327,3.042,4.148,1.678,0.623,1.1,0.939,0.324,0.985,-1.048
1990,3.747,21.242,17.495,5.088,3.398,3.125,4.179,1.815,0.697,1.165,0.938,0.279,1.533,-0.975
1991,4.419,21.733,17.314,5.247,3.505,3.191,4.378,1.875,0.862,1.427,0.984,0.3,1.695,-1.731
1992,4.525,21.532,17.007,4.716,3.603,3.107,4.444,2.017,1.057,1.726,0.959,0.303,0.679,-1.08
1993,3.764,20.802,17.037,4.316,3.65,2.933,4.457,2.114,1.118,1.728,0.951,0.3,0.207,-0.973
1994,2.831,20.368,17.536,3.933,3.61,2.828,4.416,2.224,1.143,1.618,0.934,0.299,0.319,-0.954
1995,2.169,20.048,17.88,3.618,3.587,3.07,4.408,2.343,1.178,1.543,0.933,0.282,0.127,-1.04
1996,1.351,19.625,18.274,3.345,3.355,3.032,4.365,2.406,1.157,1.529,0.911,0.252,0.166,-0.893
1997,0.259,18.946,18.687,3.215,3.258,2.887,4.287,2.46,1.131,1.449,0.902,0.258,0.111,-1.011
1998,-0.776,18.503,19.279,3.026,3.155,2.7,4.211,2.362,1.134,1.368,0.877,0.266,0.34,-0.935
