Year,Deficit,Total Spending,Total Revenue,Defense,Non-defense discretionary,Net interest,Social Security,Medicare,Medicaid,Income security,Federal civilian and military retirement,Veterans programs,Other programs,Offsetting receipts
1962,7.145,106.821,99.676,52.55,19.525,6.889,14.047,n.a.,0.103,6.105,2.002,4.633,8.159,-7.192
1963,4.756,111.316,106.56,53.718,21.575,7.74,15.456,n.a.,0.157,6.458,2.288,4.804,7.59,-8.47
1964,5.915,118.528,112.613,55.038,24.098,8.199,16.247,n.a.,0.21,6.36,2.608,4.725,9.18,-8.137
1965,1.412,118.229,116.817,51.023,26.771,8.591,17.077,n.a.,0.272,5.621,2.928,4.755,9.369,-8.178
1966,3.696,134.531,130.835,58.998,31.145,9.386,20.257,n.a.,0.77,5.187,3.395,4.705,10.001,-9.313
1967,8.642,157.464,148.822,71.99,34.483,10.268,21.292,3.172,1.173,5.177,3.881,5.377,11.424,-10.773
1968,25.161,178.134,152.973,82.152,35.826,11.09,23.293,5.125,1.806,5.939,4.371,5.62,13.977,-11.065
1969,-3.243,183.639,186.882,82.715,34.602,12.699,26.7,6.299,2.285,6.497,4.882,6.166,12.114,-11.32
1970,2.842,195.649,192.807,81.912,38.342,14.38,29.647,6.784,2.727,8.177,5.648,7.022,12.907,-11.897
1971,23.033,210.172,187.139,79.009,43.522,14.841,35.131,7.478,3.362,13.413,6.728,8.101,12.967,-14.38
1972,23.373,230.682,207.309,79.338,49.206,15.478,39.364,8.364,4.601,16.415,7.873,8.774,15.693,-14.424
1973,14.909,245.708,230.799,77.095,53.3,17.349,48.176,9.04,4.6,14.451,9.131,9.837,21.318,-18.589
1974,6.135,269.359,263.224,80.72,57.487,21.449,54.99,10.68,5.818,17.398,11.06,10.525,22.022,-22.79
1975,53.241,332.331,279.09,87.615,70.349,23.244,63.557,14.121,6.84,28.889,15.304,12.903,29.227,-19.718
1976,73.732,371.792,298.06,89.876,85.701,26.727,72.699,16.942,8.568,37.604,15.999,14.405,23.443,-20.172
1977,53.659,409.218,355.559,97.517,99.556,29.901,83.69,20.78,9.876,34.528,18.371,13.402,23.126,-21.529
1978,59.185,458.746,399.561,104.649,114.061,35.458,92.447,24.275,10.68,32.042,20.58,13.575,33.706,-22.727
1979,40.727,504.029,463.302,116.777,123.221,42.633,102.594,28.16,12.407,32.124,23.446,14.064,34.157,-25.554
1980,73.829,590.941,517.112,134.629,141.694,52.533,117.053,33.955,13.957,44.274,27.516,14.613,40.711,-29.994
1981,78.969,678.241,599.272,157.964,149.949,68.766,137.881,41.267,16.833,49.787,32.43,15.818,46.553,-39.007
1982,127.977,745.743,617.766,185.933,140.019,85.032,153.916,49.168,17.391,53.103,35.681,16.26,46.434,-37.194
1983,207.803,808.365,600.562,209.882,143.428,89.808,168.513,55.525,18.985,64.167,38.084,16.508,49.083,-45.618
1984,185.368,851.806,666.438,228.045,151.402,111.102,176.052,61.138,20.061,51.815,39.827,16.376,40.952,-44.964
1985,212.307,946.344,734.037,253.109,162.683,129.478,186.432,69.662,22.655,52.584,40.443,16.438,61.209,-48.349
1986,221.227,990.382,769.155,273.832,164.688,136.017,196.547,74.185,24.995,54.465,42.645,16.644,54.134,-47.77
1987,149.73,1004.017,854.287,282.517,161.644,138.611,205.072,79.912,27.435,55.304,45.763,16.466,44.118,-52.825
1988,155.177,1064.415,909.238,290.918,173.499,151.803,216.808,85.704,30.462,57.524,49.432,17.614,45.976,-55.325
1989,152.639,1143.743,991.104,304.034,184.798,168.981,230.395,93.183,34.604,61.129,52.139,17.987,54.706,-58.213
1990,221.035,1252.993,1031.958,300.141,200.437,184.347,246.495,107.048,41.103,68.749,55.302,16.469,90.44,-57.538
1991,269.237,1324.225,1054.988,319.704,213.574,194.448,266.765,114.219,52.533,86.931,59.942,18.271,103.295,-105.457
1992,290.322,1381.53,1091.208,302.602,231.202,199.344,285.167,129.41,67.827,110.766,61.501,19.465,43.554,-69.308
1993,255.051,1409.385,1154.334,292.43,247.323,198.713,301.985,143.208,75.774,117.093,64.433,20.294,14.03,-65.898
1994,203.186,1461.752,1258.566,282.266,259.074,202.932,316.913,159.58,82.034,116.099,67.013,21.462,22.881,-68.502
1995,163.952,1515.742,1351.79,273.562,271.199,232.134,333.273,177.125,89.07,116.649,70.513,21.296,9.581,-78.66
1996,107.431,1560.484,1453.053,265.961,266.772,241.053,347.051,191.31,91.99,121.604,72.434,20.048,13.23,-70.969
1997,21.884,1601.116,1579.232,271.674,275.363,243.984,362.296,207.862,95.552,122.475,76.209,21.768,9.361,-85.428
1998,-69.27,1652.458,1721.728,270.25,281.745,241.118,376.119,210.98,101.234,122.143,78.289,23.778,30.349,-83.547
1999,-125.61,1701.842,1827.452,275.463,296.65,229.755,386.991,209.255,108.042,129.018,80.409,24.734,41.035,-79.51
2000,-236.241,1788.95,2025.191,294.965,319.661,222.949,406.048,216.022,117.921,133.939,83.003,27.058,48.498,-81.114
2001,-128.236,1862.846,1991.082,306.075,342.966,206.167,429.368,237.859,129.374,143.115,87.31,23.35,46.596,-89.334
2002,157.758,2010.894,1853.136,348.952,384.998,170.949,452.073,253.683,147.512,180.349,90.708,27.862,44.233,-90.425
2003,377.585,2159.899,1782.314,404.942,419.397,153.073,470.453,274.151,160.693,196.151,93.162,31.754,57.112,-100.989
2004,412.727,2292.841,1880.114,454.057,441.008,160.245,491.537,297.032,176.231,190.594,97.424,31.821,61.797,-108.905
2005,318.346,2471.957,2153.611,493.603,474.938,183.986,518.712,335.122,181.72,196.873,103.107,40.296,72.273,-128.673
2006,248.181,2655.05,2406.869,519.967,496.657,226.603,543.911,376.82,180.625,200.045,108.847,38.319,107.568,-144.312
2007,160.701,2728.686,2567.985,547.868,493.722,237.109,581.442,436.116,190.624,203.11,114.917,38.394,63.313,-177.929
2008,458.553,2982.544,2523.991,612.434,522.45,252.757,612.11,455.99,201.426,260.654,120.288,44.484,85.379,-185.428
2009,1412.688,3517.677,2104.989,656.724,580.812,186.902,677.726,499.924,250.924,350.22,129.878,49.572,329.575,-194.58
2010,1294.373,3457.079,2162.706,688.854,658.312,196.194,700.752,520.486,272.771,437.291,132.141,58.258,-11.501,-196.479
2011,1299.599,3603.065,2303.466,699.392,647.745,229.962,724.923,559.623,274.964,404.039,137.781,71.009,62.485,-208.858
2012,1076.573,3526.563,2449.99,670.523,605.182,220.408,767.714,551.133,250.534,353.588,136.069,67.975,131.685,-228.248
2013,679.775,3454.881,2775.106,625.75,576.612,220.885,807.841,585.224,265.392,339.507,145.857,80.379,112.112,-304.678
2014,484.793,3506.284,3021.491,596.449,582.418,228.956,844.876,599.784,301.472,310.898,149.035,86.715,82.987,-277.306
